domain,count
uxt-components-prod.mediazs.com,1
uxt-cf-images.mediazs.com,1
polyfill.io,5
uxt-components-dev.shpd.mediazs.com,1
leto-personal-prod.samp.ext.zooplus.io,1
searchen-hopps-prod.samp.ext.zooplus.io,1
uxt-background-banner-prod.shpp.ext.zooplus.io,1
uxt-banner-carousel-prod.shpp.ext.zooplus.io,1
uxt-discount-banner-prod.shpp.ext.zooplus.io,1
uxt-side-banner-prod.shpp.ext.zooplus.io,1
uxt-promotional-carousel-prod.shpp.ext.zooplus.io,1
uxt-brand-carousel-prod.shpp.ext.zooplus.io,1
uxt-supplier-financed-middle-banner-prod.shpp.ext.zooplus.io,1
uxt-special-teaser-prod.shpp.ext.zooplus.io,1
uxt-magazine-teaser-prod.shpp.ext.zooplus.io,1
uxt-middle-banner-prod.shpp.ext.zooplus.io,1
uxt-seo-accordion-prod.mediazs.com,1
recommendation-api.prod.zooplus.net,1
uxt-components-prod.shpp.ext.zooplus.io,1
personalization-gdpr.samp.ext.zooplus.io,1
f1-eu.readspeaker.com,2
www.24garten.de,2
www.landtiere.de,2
player-integration.mes.glomex.cloud,2
aqqkowuysp.cloudimg.io,1
hvs.wortundbildverlag.de,1
media.wub-service.de,1
depst-mara-prod1-decisionhub.pegacloud.net,1
web-analytics.uni-muenchen.de,1
cdn.bunchbox.co,2
player.h-cdn.com,1
de-config.sensic.net,3
1a5d87d8900312e7b7d38f5a8d668b4c01c3bfef8d2b755f7df75ea9.trk.sensic.net,1
logs1413.xiti.com,2
5ec79eb5.de.ioam.de,1
zagent29.h-cdn.com,1
z.moatads.com,2
cdn.permutive.app,2
mb.moatads.com,2
px.moatads.com,2
s3.eu-central-1.amazonaws.com,2
static1.bmbfcluster.de,1
cdn.trustedshops.com,1
boell.containers.piwik.pro,1
u.heatmap.it,1
boell.piwik.pro,1
eu5.heatmap.it,1
static.cloudflareinsights.com,1
cdn.s04.de,1
firestore.googleapis.com,1
zn3rbqbel717pvo3i-schalke04.siteintercept.qualtrics.com,1
siteintercept.qualtrics.com,1
player.vimeo.com,1
i.vimeocdn.com,1
f.vimeocdn.com,1
www.hochschule-trier.de,1
img1.wsimg.com,1
paintbrush.heg-cp.com,1
lh3.googleusercontent.com,1
www.ewe.de,1
static.ewe.de,1
data.ewe.de,1
cdn.sitesearch360.com,1
wwa.wipe.de,1
5nlvgyf91g.kameleoon.eu,1
static.l-iw.de,1
tags.tiqcdn.com,4
imagesrv.adition.com,3
gseiten.h5v.eu,1
gs.wwa.wipe.de,1
uim.tifbs.net,1
ldsa.l-iw.de,1
t.uimserv.net,1
eu-api-visit.kameleoon.eu,1
assertcom.de,1
uni-jena.de,1
www.uni-jena.de,1
piwik.rz.uni-jena.de,1
dev.visualwebsiteoptimizer.com,1
www.shopvote.de,1
logs1406.xiti.com,2
b529c657805fcbd8ee9b4aa483a0ec0edeb1bf321db140dfbddaf02d.trk.sensic.net,1
60996119.de.ioam.de,1
www.tagesschau.de,1
www.tu-braunschweig.de,1
www.bundeskanzler.de,1
cdn.ampproject.org,1
at.bahn.de,1
dsum-sec.casalemedia.com,3
ib.adnxs.com,2
s0.2mdn.net,3
googleads4.g.doubleclick.net,2
pixel.everesttech.net,1
d.agkn.com,1
id.rlcdn.com,2
e.dlx.addthis.com,2
ssum-sec.casalemedia.com,2
ag.innovid.com,1
googlecm.hit.gemius.pl,1
cms.quantserve.com,2
odr.mookie1.com,1
rtb.openx.net,2
image6.pubmatic.com,2
pixel.rubiconproject.com,2
static.emsservice.de,1
www.vodafone.de,1
engagement.adalliance.io,1
cookie-cdn.cookiepro.com,2
adfarm1.adition.com,1
cdn.optimizely.com,2
a8443856239.cdn.optimizely.com,1
www.24vita.de,1
js.stripe.com,1
m.stripe.network,1
endpoint-app.cognigy.ai,1
m.stripe.com,1
logs1279.xiti.com,1
d17bd662.de.ioam.de,1
assets.audi.com,1
tms.audi.com,1
featureapps.audi.com,1
mediaservice.audi.com,1
web-api.audi.com,1
content.my.audi.com,1
www.infonline.de,1
www.theepochtimes.com,1
quantcast.mgr.consensu.org,1
secure.quantserve.com,1
test.cmp.quantcast.com,1
cmp.quantcast.com,1
stackpath.bootstrapcdn.com,1
rules.quantcount.com,1
audit-tcfv2.cmp.quantcast.com,1
cdn.ravenjs.com,1
static.olark.com,1
nrpc.olark.com,1
api.olark.com,1
log.olark.com,1
analytics.init.de,1
www.bmw.com,1
bmwag.d3.sc.omtrdc.net,1
p11.techlab-cdn.com,1
skydeutschland.demdex.net,1
s2.go-mpulse.net,1
a2946781464.cdn.optimizely.com,1
players.brightcove.net,1
vjs.zencdn.net,1
edge.api.brightcove.com,1
metrics.brightcove.com,1
static.skyassets.com,1
cf-images.eu-west-1.prod.boltdns.net,1
skyde.inq.com,1
media-eu2.digital.nuance.com,1
a43c5c56.de.ioam.de,1
cdn.nativendo.de,1
widget.perfectmarket.com,2
trc.taboola.com,2
www.br.de,1
img.br.de,1
www.ardalpha.de,1
www.br-klassik.de,1
tm.br.de,1
79423.analytics.edgekey.net,1
scripts.psyma.com,1
58f79fac.de.ioam.de,1
ma140-r.analytics.edgekey.net,1
www.fau.de,1
38998.global.siteimproveanalytics.io,1
www.hosttest.de,2
assets.calendly.com,1
cache.pressmailing.net,1
da880915.de.ioam.de,1
www.newsaktuell.de,1
s7g10.scene7.com,1
dpm.demdex.net,2
zp97jbfxnv.kameleoon.eu,1
squarelovin.com,1
cdn.appdynamics.com,1
www.recaptcha.net,1
accounts.pinterest.com,1
accounts.google.com,1
i.pinimg.com,1
static.xx.fbcdn.net,1
portal.kv-safenet.de,1
fidschi.leonex.de,1
master.dwebcms.db.com,1
www.deutsche-bank.de,1
cdnwmii.e-i.com,1
utopix.net,1
gdpr.privacymanager.io,1
cdn.atf-tagmanager.de,1
gdpr-wrapper.privacymanager.io,1
geo.privacymanager.io,1
cmp-consent-tool.privacymanager.io,1
vendors.privacymanager.io,1
static-nt.weekli.systems,2
static.plenigo.com,1
db78418f.de.ioam.de,1
trmads.eu,2
swp.weekli.de,1
ted.lr-digital.de,1
cls.k5a.io,1
swp-static.s3.eu-central-1.amazonaws.com,1
www.swrfernsehen.de,1
bbfc5fc9.de.ioam.de,1
logs1241.xiti.com,1
www.swr3.de,1
mabping.chartbeat.net,1
www.kit.edu,1
static.scc.kit.edu,1
compliance-pack.carlsberggroup.com,1
api.live.carlsbergwebservices.com,1
cx-media-fe.live.cx-apps.io,1
cdn.matomo.cloud,1
artfiles.matomo.cloud,1
client.crisp.chat,1
stadt-bremerhaven.de,1
i.imgur.com,1
stadtbremerhaven.digidip.net,1
static.digidip.net,1
www.hessenschau.de,1
2cd549da.de.ioam.de,1
e03b76e8bcf06f24bc3a6ab822a1b739a39e544db858f0e8f73a689d.trk.sensic.net,1
interhypprod-media.e-spirit.cloud,1
api.wo-cloud.com,1
images.ctfassets.net,1
radar.wo-cloud.com,1
tiles.wo-cloud.com,1
www.bmwk.de,1
piwik.bzga.de,1
chart.consorsbank.is-teledata.com,1
privacy.trustcommander.net,1
assets.bosch.com,1
btm.bosch.com,1
ro-dyn-backend.bosch.com,1
ads.pubmatic.com,1
c.amazon-adsystem.com,2
sz-gruppe.cloud,1
adn.meinsol.de,1
static-assets.rp-online.de,1
saarbruecker-zeitung.weekli.de,1
c2.taboola.com,1
nr-events.taboola.com,1
am-trc-events.taboola.com,1
pips.taboola.com,1
cds.taboola.com,1
news.h5v.eu,1
www.helmholtz-munich.de,1
www.opteamax.eu,1
www.dwin1.com,1
t.adcell.com,1
static.zanox.com,1
www.usemaxserver.de,1
ad4m.at,1
hal9000.redintelligence.net,1
pixel.mathtag.com,1
track.adform.net,1
5994599.fls.doubleclick.net,1
11868943.fls.doubleclick.net,1
as.ad4m.at,1
r.adserver01.de,1
ad11.adfarm1.adition.com,1
pixel.onaudience.com,1
rtb-csync.smartadserver.com,1
simage2.pubmatic.com,1
a.twiago.com,1
s2.adform.net,1
secure.adnxs.com,1
loada.exelator.com,1
sync.crwdcntrl.net,1
match.adsrvr.org,1
isp-cosimo.de,1
aax.amazon-adsystem.com,1
cdn.delight-vr.com,1
5baf1288cf.dl8.me,1
imasdk.googleapis.com,1
s3.amazonaws.com,1
hgc-cf-cache-1.svonm.com,1
vteam.focus.de,1
cdn.tynt.com,1
sc.tynt.com,1
ic.tynt.com,1
de.tynt.com,1
cdn2.netclusive.de,1
widget.trustpilot.com,1
globalways.net,1
demographics.bf-sugarless-production.aws.bfops.io,1
partners.wfxtriggers.com,1
ssl.google-analytics.com,2
a45332846f6c4fc44e31b9aa350b1055.safeframe.googlesyndication.com,1
d.adtriba.com,1
www.domainprovider.de,1
ccm.domainprovider.de,1
www.etracker.com,1
play.etracker.com,1
cdn.podigee.com,1
st1-de.igstatic.com,1
st3-de.igstatic.com,1
st2-de.igstatic.com,1
player.podigee-cdn.net,1
compass.pressekompass.net,1
ops.iqd-ao.de,1
widgets.opinary.com,1
midgard.pressekompass.net,1
sentry.io,1
api.opinary.com,1
cdn.opinary.com,1
dergradmesser.podigee.io,1
event-acceptor-dot-production-eu-292711.ey.r.appspot.com,1
images.podigee-cdn.net,1
ads.urban-media.com,1
via.batch.com,1
fast-lane.podigee.io,1
tatort-berlin.podigee.io,1
berliner-und-pfannkuchen.podigee.io,1
platform.twitter.com,1
syndication.twitter.com,1
cdn.syndication.twimg.com,1
pbs.twimg.com,1
ton.twimg.com,1
prod.smassets.net,1
cdn.smassets.net,1
1005.3cx.mk.de:5001,1
